date,dau
20260505,30014996
20260506,30094790
20260507,29904283
20260508,29740385
20260509,30100549
20260510,30494478
20260511,29834632
20260512,30011512
20260513,30045972
20260514,29765987
20260515,31108088
20260516,31351088
20260517,30652621
20260518,29841619
20260519,29902038
20260520,31137823
20260521,31735922
20260522,32192988
20260523,31437974
20260524,30869696
20260525,30539309
20260526,30268846
20260527,29584057
20260528,29990396
20260529,30676541
20260530,30638501
20260531,30391143
20260601,30679533
20260602,30245977
20260603,31388543
20260604,30766155
