name	label	displayType	fieldType
exp_group	实验组（不用这个）	string	1
observation_group	观察组（不用这个）	string	1
layer	RFM用户分层	string	1
is_feed_new	是否信息流新用户	number	1
device_age_5_level	设备激活天数5分段	string	1
start_price_7_level	机型起售价7分段	string	1
start_price_3_level	机型起售价3分段	string	1
user_age_8_level	年龄8分段	string	1
user_sex	性别	string	1
habitation_city_level	居住地城市等级	string	1
is_core_page	是否核心页面	number	1
page	页面	string	1
feed_channel	频道	string	1
app_launch_way	启动方式	string	1
item_id	内容id	string	1
item_type	体裁	string	1
item_category	内容一级分类	string	1
item_subcategory	内容二级分类	string	1
item_publish_time_level	内容发布天数分段	string	1
article_level	消费优质账号	string	1
cp_author_level	平台优质账号	string	1
item_author_id	内容作者id	string	1
item_author_name	内容作者名称	string	1
item_cp_name	内容CP	string	1
case     when  实验组_为空则不属于实验组_ in ('火山组','36%火山组')  or  观察组_为空则不属于观察组_ in ('火山组','4%火山反转组','2%火山反转组','2%火山纯净组')  then '火山组'    when 实验组_为空则不属于实验组_ in ('自建组','36%自建组')  or  观察组_为空则不属于观察组_ in ('自建组','4%自建反转组','2%自建反转组','2%自建纯净组')  then '自建组'end	实验大组（火山or自建）	string	5
case when 实验组_为空则不属于实验组_ in( '36%火山组','36%自建组' ) then '36%组' when 观察组_为空则不属于观察组_ in( '2%自建反转组','2%火山反转组') then '反转组' when 观察组_为空则不属于观察组_ in('2%自建纯净组','2%火山纯净组') then '纯净组'  end	流量大组（36%或2%纯净或2%反转）	string	5
video_length_level	视频时长分段	string	1
CASE when T_1这一天的rfm用户分层 in('未知','0消费用户') then '0消费'else T_1这一天的rfm用户分层 end	RFM	string	5
did	did	string	1
device_age	设备激活天数	string	1
item_title	内容标题	string	1
item_position	曝光位置	string	1
djy_rec_expid	exp_id	string	1
introduction_type	内容引入类型	string	1
ruku_delay	入库延迟	string	1
is_cold	是否冷启	string	1
item_publish_time_range_v2	内容发布天数分段_v2	string	1
is_feed_deep_user	是否信息流深度用户	string	1
item_publish_time_int	内容发布天数	number	1
tuwen_words_cnt	图文字数	number	1
CASE        WHEN 图文字数 = 0 THEN '0'        WHEN 图文字数 >= 1 AND 图文字数 <= 49 THEN '0-50'        WHEN 图文字数 >= 50 AND 图文字数 <= 99 THEN '50-100'        WHEN 图文字数 >= 100 AND 图文字数 <= 199 THEN '100-200'        WHEN 图文字数 >= 200 AND 图文字数 <= 299 THEN '200-300'        WHEN 图文字数 >= 300 AND 图文字数 <= 399 THEN '300-400'        WHEN 图文字数 >= 400 AND 图文字数 <= 499 THEN '400-500'        WHEN 图文字数 >= 500 AND 图文字数 <= 999 THEN '500-1000'        WHEN 图文字数 >= 1000 AND 图文字数 <= 1999 THEN '1000-2000'        WHEN 图文字数 >= 2000 AND 图文字数 <= 2999 THEN '2000-3000'        WHEN 图文字数 >= 3000 THEN '3000+'        ELSE '未知'END	图文字数区间	string	5
page_origin	内流入口标识	string	1
root_gid	内流首条内容ID	string	1
is_click_content_enter	是否列表页点击进入内流	string	1
case when root_gid is not null and root_gid <> '' and root_gid <> '未知'  then '否' else '是' end	是否内流首条内容	string	5
video_length_level_v2	视频时长分段_v2	string	1
CASE  实验组_为空则不属于实验组_ when  '空'  then  观察组_为空则不属于观察组_ else  实验组_为空则不属于实验组_ end	consum_exp_group	string	5
is_feed_active_new_no_push	是否有效用户_不含push	number	1
is_feed_active_new	是否有效用户	number	1
item_alg_source	内容推荐来源	string	1
book_type	书籍类型	string	1
read_source	阅读来源	string	1
next_novel	next_novel	string	1
last_read_source	上一次阅读来源	string	1
exp_group_6	流量分组	string	1
exp_id_v2	exp_id_v2(备用)	string	1
is_app_deep_user	是否浏览器深度用户	string	1
video_length	视频时长	number	1
is_vliad_user_new	is_vliad_user_new	string	1
is_valid_user_new_no_push	is_valid_user_new_no_push	string	1
